id,ime,informacije,cena
1339206296,Majhna mačka išče dom / podarim mačka,"Našla sem majhno črno mucko, ki išče dom. Je zelo vajena ljudi, se rada crklja in to pokaže s predenjem kadarkoli jo kdo poboža. :) Je že prejela vsa osnovna",Podarim
1339222880,Podarimo belo muco,"Podarimo sterilizirano belo muco. Muca je stara eno leto. Vajena je življenja v hiši in v naravi ter na spanje v notranjih, toplih prostorih. Muca ni primerna",Podarim
1339218698,Podarimo čudovite mlade mucke,Dobrim in odgovornim ljudem podarimo mlade mucke. Ostali sta še dve mucki... Temna je malce bolj puhasta in bo najbrž imela srednje dolgo dlako. Mucki,Podarim
1339218296,Toto išče dom,"Toto je star okoli 6 mesecev, prijazen, igriv in obožuje družbo ljudi. Toto ima poleg svoje popolnoma bele dlake tudi posebnost in sicer ne sliši. Kar",Podarim
1339213868,Podarim mačja mladiča,"Podarim mačja mladiča, stara 3 mesece.",Podarim
1339212590,Lumpi išče dom,"Zelo igriv trimesečni Lumpi išče nov dom. Je sobno čist, zdrav, navajen družbe drugih muck. Pred oddajo bo kastriran. Info: 070 326 447",Podarim
1339212494,Ida išče dom,"Trimesečna Ida išče skrbne posvojitelje. Je zdrava, sterilizirana, sobno čista, navajena družbe drugih muck in psov. Info: 070 326 447.",Podarim
1339212416,Una išče dom,"Trimesečna pisana Una išče ljubeče posvojitelje. Je zdrava, sobno čista, sterilizirana, navajena družbe drugih muck in psov. Info: 070 326 447.",Podarim
1339212314,Nežka išče dom,"Enoletna Nežka išče odgovorne lastnike. Je nežna in mirna muca. Veterinarsko pregledana, zdrava, sterilizirana, sobno čista. Info: 070 326 447",Podarim
1339212218,Pika in Tigi iščeta dom,"Zelo prijazna in nezahtevna Pika in Tigi iščeta ljubeč dom. Stara sta 4 mesece, zdrava, sobno čista. Pred oddajo bosta s/k. Info: 031 391 056.",Podarim
1339209863,mlada muca 2 meseca +mačje stranisce+praskalnik z hisko,podarimo mlado muco staro dva meseca zraven pa damo novo mačje stranišče novi praskalnik hrano pesek lopato rokavice za dlako 031 536 728,Podarim
1339206296,Majhna mačka išče dom / podarim mačka,"Našla sem majhno črno mucko, ki išče dom. Je zelo vajena ljudi, se rada crklja in to pokaže s predenjem kadarkoli jo kdo poboža. :) Je že prejela vsa osnovna",Podarim
1339087565,Muce iščejo dom,"Pred kratkim smo rešile mačje mladiče, ki so že bile pri veterinarju (razbolhanje, razglistenje in pregled) - muce (štirje mačaki in ena muca)bodo pred",Podarim
1339193369,Oddamo muco dolgodlako,Oddamo dolgodlako notranjo muco po imenu stella.. Muca je stara nekje 4leta je stirilizirana in redno razgliscena ..rada ima otroke je obvezno notranja,"1,00 €"
1339190948,oddam 2 mačja mladiča,"oddam 2 igriva mačja mladiča stara 2, 5 meseca Sta navajena na čistočo oz mačji wc 051364313",Podarim
1339189490,Mucek,"Najden mucek išče dom. Lepi fant je zelo crkljiv, mehek in obožuje poležavanje v naročju. Z veseljem bi ga sama obdržala, a že imam več muckov in bi želela","1,00 €"
1339189487,mucka,"Oddam mucko staro 1 leto, sterilizirano, navajeno bivanja samo notri. Zelim cimprej oddati ker se v trenutnem domu ne pociti uredu. Resena s ceste. Kontakt:",Po dogovoru
1339189430,muc Lan,"Prelep in nežen pogled, skrbno negovan kožušček in dolgi beli brkci. To je super muc LAN, s čudovitim karakterjem. Nov dom išče skupaj s svojo sestrico",Po dogovoru
1339189397,muca Lina,"Prijazna, nežna, z izredno mehkim črno belim kožuščkom in prelepimi očmi. To je LINA. Pridna mucka, tiha, ljubezniva, predvsem pa se rada stisne v naročje.",Po dogovoru
1326239050,Thai (Siamski) mucke z rodovnikom,"OLIVASMAGICTHAI mucke , 11 i 12 mesec stari, iščeju novega lastnika, ki bi radi nič manj, gledajo in se stisnila svojega tej družini, v kateri je odraščal.","150,00 €"
1337761378,Siamski mucek i muca,"Prodam sijamsko mačko že 3 leta i 2 leta. Ona je cepljena, obrezana, ima potni list EU. Učil se je, da živi v stanovanju / apartmaju (toaletni pesek, ščetin,","150,00 €"
